name,water_parameters,fish_group,compatibility_with_crabs,temperature,pelvic_region,behaviour,compatibility_with_fish,tank_size,breeding,visual_effect,compatibility_with_shrimps,origin,diet,vegetation_possible,compatibility_with_snails_shells,compatibility_with_dwarf_crayfish,final_size,level_of_difficulty,characteristics,compatibility_with_large_crayfish,life_expectancy
"2 x Yellow Labidochromis ""Yellow"" - Labidochromis caeruleus - pair",soft to hard,,,25-30 °C,center,,,100 l (ca. 80cm),medium,forms territories (when spawning),socialization not possible,Africa,limnivorous - growth eater (algae),conditional (see description),no,no,8-12 cm,2 - normal,,,
2 x Tanganyika golden cichlids - Neolamprologus leleupi - DNZ pairs,hard water,Cichlids,,25-30 °C,center,,,200 l (ca. 100cm),medium,forms precincts,socialization not possible,Africa,omnivorous - omnivorous,conditional (see description),no,no,8-12 cm,3 - difficult,,,
2x black and white slim cichlid - Julidochromis transcriptus DNZ ​​pair,hard water,Cichlids,,25-30 °C,center,,,100 l (ca. 80cm),hard,forms territories (when spawning),socialization not possible,Africa,carnivore - meat eater,conditional (see description),no,no,4-8 cm,2 - normal,,,
"2x peacock cichlid ""red tiger"" - Astronotus ocellatus - pair",soft to medium hard,Cichlids,,25-30 °C,center,,,600 l (ca. 180cm),medium,especially colorful,socialization not possible,South America,carnivore - meat eater,conditional (see description),no,no,> 12cm,2 - normal,,,
"2x scalar ""Green mirror"" - Pterophyllum scalare - DNZ - pair",soft to medium hard,Cichlids,,25-30 °C,center,,,250/300 l (ca. 120cm),medium,forms territories (when spawning),socialization not possible,South America,carnivore - meat eater,yes,yes,no,> 12cm,2 - normal,,,
2x Burton's mouthbrooder - Astatotilapia burtoni - DNZ pair,soft to medium hard,Cichlids,,20-25 °C,center,,,400/450 l (ca. 150cm),medium,forms territories (when spawning),socialization not possible,Africa,limnivorous - growth eater (algae),conditional (see description),no,no,8-12 cm,2 - normal,,,
2 x Guinea fowl perch - Altolamprologus calvus BLACK DNZ - pair,medium hard water,Cichlids,,25-30 °C,center,,,250/300 l (ca. 120cm),hard,especially colorful,socialization not possible,Africa,carnivore - meat eater,conditional (see description),no,no,> 12cm,2 - normal,,,
2x Salvins cichlid - Cichlasoma salvini - DNZ pair,soft to hard,Cichlids,,25-30 °C,center,,,250/300 l (ca. 120cm),hard,forms territories (when spawning),socialization not possible,Central America,omnivorous - omnivorous,no,no,no,> 12cm,2 - normal,,,
2x Nicaragua cichlid - Cichlasoma nicaraguense - DNZ pair,soft to medium hard,Cichlids,,25-30 °C,below,,,400/450 l (ca. 150cm),medium,especially colorful,socialization not possible,South America,carnivore - meat eater,conditional (see description),no,no,> 12cm,2 - normal,,,
King Tetra - Inpaichthys kerri EU-NZ,soft to medium hard,Tetra,,25-30 °C,top,,,100 l (ca. 80cm),hard,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,2 - normal,,,
"2 x Opal Apistogramma - Apistogramma borelli ""Opal"" DNZ - pair",soft to medium hard,Cichlids,,20-25 °C,center,,,54 l (ca. 60cm),medium,especially colorful,socialization not possible,South America,omnivorous - omnivorous,yes,no,no,4-8 cm,2 - normal,,,
True Altum Scalar - Pterophyllum altum,soft to medium hard,Cichlids,,25-30 °C,center,,,400/450 l (ca. 150cm),medium,forms territories (when spawning),socialization not possible,South America,carnivore - meat eater,yes,yes,no,> 12cm,2 - normal,,,
2x Black Scalar - Pterophyllum scalare - DNZ,soft to medium hard,Cichlids,,25-30 °C,center,,,250/300 l (ca. 120cm),medium,forms territories (when spawning),socialization not possible,South America,carnivore - meat eater,yes,yes,no,> 12cm,2 - normal,,,
3x brass mouthbrooder - Pseudocrenilabrus dispersus philander - TRIO (2W/1M) - DNZ 4 cm,soft to medium hard,Cichlids,,20-25 °C,center,,,200 l (ca. 100cm),medium,forms territories (when spawning),socialization not possible,Africa,limnivorous - growth eater (algae),conditional (see description),yes,no,8-12 cm,2 - normal,,,
2x Yellow Viktoria Mouthbrooder - Haplochromis rock kribensis - DNZ 5cm,soft to medium hard,Cichlids,,20-25 °C,center,,,250/300 l (ca. 120cm),medium,forms territories (when spawning),socialization not possible,Africa,omnivorous - omnivorous,conditional (see description),yes,no,8-12 cm,2 - normal,,,
2 x Villavicencio dwarf cichlid - Apistogramma macmasteri - pair,soft to medium hard,Cichlids,no,24-28 °C,below,normal,conditional (see description),100 l (ca. 80cm),medium,especially colorful,with shrimp 4-6 cm size,South America,carnivore - meat eater,yes,yes,no,4-8 cm,2 - normal,interesting color,no,3-5 years
2 x black-throated dwarf cichlid - Apistogramma viejita - DNZ - pair,soft water,Cichlids,,20-25 °C,below,,,200 l (ca. 100cm),medium,forms territories (when spawning),socialization not possible,South America,carnivore - meat eater,yes,no,no,4-8 cm,2 - normal,,,
Emperor Cichlid Blue - Aulonacara stuartgranti,soft to medium hard,Cichlids,,20-25 °C,center,,,250/300 l (ca. 120cm),medium,forms territories (when spawning),socialization not possible,Africa,carnivore - meat eater,conditional (see description),no,no,8-12 cm,2 - normal,,,
"Red Albino Emperor Cichlid - Aulonocara sp. ""Fire Fish Albino""",soft to medium hard,Cichlids,,20-25 °C,center,,,250/300 l (ca. 120cm),medium,forms precincts,socialization not possible,Africa,carnivore - meat eater,conditional (see description),no,no,> 12cm,2 - normal,,,
Yellow Emperor Cichlid - Aulonocara maleri,soft to medium hard,Cichlids,,20-25 °C,center,,,250/300 l (ca. 120cm),medium,forms territories (when spawning),socialization not possible,Africa,carnivore - meat eater,conditional (see description),no,no,8-12 cm,2 - normal,,,
Scalar Koi Med - Pterophyllum scalare,soft to medium hard,Cichlids,,20-25 °C,center,,,250/300 l (ca. 120cm),medium,forms territories (when spawning),socialization not possible,South America,carnivore - meat eater,yes,yes,conditional (see description),> 12cm,2 - normal,,,
Humpback cichlid DNZ - Steatocranus casuarius,medium hard water,Cichlids,,20-25 °C,below,,,200 l (ca. 100cm),hard,forms territories (when spawning),socialization not possible,Africa,carnivore - meat eater,conditional (see description),no,no,> 12cm,2 - normal,,,
White spotted cichlid DNZ - Tropheus duboisi maswa,medium hard to hard,Cichlids,no,22-28 °C,below,calm,conditional (see description),400/450 l (ca. 150cm),medium,forms territories (when spawning),socialization not possible,Africa,limnivorous - growth eater (algae),no,yes,no,> 12cm,2 - normal,growth eater,no,10+ years
Chameleon cichlid - Pseudotropheus crabro,soft to medium hard,Cichlids,no,22-28 °C,below,normal,conditional (see description),400/450 l (ca. 150cm),medium,forms territories (when spawning),socialization not possible,Africa,omnivorous - omnivorous,no,yes,no,> 12cm,2 - normal,interesting color,no,
Cobalt zebra cichlid bright blue - Pseudotropheus callainos,soft to medium hard,Cichlids,no,22-28 °C,below,normal,conditional (see description),400/450 l (ca. 150cm),medium,forms precincts,socialization not possible,Africa,omnivorous - omnivorous,no,yes,no,> 12cm,2 - normal,growth eater,no,
African butterfly cichlid DNZ - Anomalochromis thomasi,soft to medium hard,Cichlids,no,22-28 °C,below,normal,"yes, with peaceful fish",200 l (ca. 100cm),medium,interesting behaviour,socialization not possible,Africa,carnivore - meat eater,yes,yes,no,> 12cm,2 - normal,interesting parental care,no,
Checkerboard cichlid - Dicrossus maculatus,hard water,Cichlids,no,25-30 °C,,normal,"yes, with peaceful fish",250/300 l (ca. 120cm),,,"with dwarf shrimp, offspring may be eaten",South America,,yes,yes,yes,8-12 cm,2 - normal,,no,
Peacock Cichlid albino - Astronotus ocellatus,soft to hard,Cichlids,no,22-28 °C,everywhere,normal,conditional (see description),over 1000l,medium,interesting body shape,socialization not possible,South America,carnivore - meat eater,yes,yes,no,> 12cm,4 - special,fish of prey,no,
Steindachner's dwarf cichlid - Apistogramma steindachneri,soft water,Cichlids,no,24-28 °C,below,normal,conditional (see description),200 l (ca. 100cm),medium,forms territories (when spawning),socialization not possible,South America,carnivore - meat eater,yes,yes,no,8-12 cm,4 - special,interesting color,no,3-5 years
Discus red map DNZ - Symphysodon aequifasciatus,soft water,Cichlids,no,25-30 °C,center,calm,conditional (see description),400/450 l (ca. 150cm),medium,especially colorful,socialization not possible,South America,omnivorous - omnivorous,yes,yes,no,> 12cm,4 - special,interesting parental care,no,10+ years
Saulosi mouthbrooder coral red DNZ - Chindongo saulosi,medium hard to hard,Cichlids,no,22-28 °C,center,active,conditional (see description),250/300 l (ca. 120cm),medium,interesting behaviour,socialization not possible,Africa,limnivorous - growth eater (algae),conditional (see description),conditional (see description),no,> 12cm,2 - normal,interesting parental care,no,
Kaiser cichlid albino pink peacock - Aulonocara firefish albino,medium hard water,Cichlids,no,24-28 °C,everywhere,normal,conditional (see description),400/450 l (ca. 150cm),medium,especially colorful,socialization not possible,Africa,carnivore - meat eater,yes,no,no,> 12cm,2 - normal,interesting color,no,3-5 years
Harlequin Bass - Uara amphiacenthoides,soft to medium hard,Cichlids,no,22-28 °C,below,normal,"yes, with peaceful fish",600 l (ca. 180cm),medium,interesting behaviour,socialization not possible,South America,omnivorous - omnivorous,conditional (see description),no,no,> 12cm,2 - normal,interesting parental care,no,
Scalar koi red DNZ - Pterophyllum scalare,soft to medium hard,Cichlids,no,22-28 °C,center,calm,conditional (see description),250/300 l (ca. 120cm),medium,interesting body shape,socialization not possible,South America,carnivore - meat eater,yes,yes,no,> 12cm,1 - easy,interesting parental care,no,5-10 years
Sajica cichlid - Cryptoheros sajica,medium hard to hard,Cichlids,no,22-25 °C,below,normal,conditional (see description),400/450 l (ca. 150cm),medium,forms territories (when spawning),socialization not possible,Central America,omnivorous - omnivorous,conditional (see description),no,no,> 12cm,2 - normal,interesting color,no,5-10 years
Scalar snow diamond - Pterophyllum scalare,soft to medium hard,Cichlids,no,22-28 °C,center,calm,conditional (see description),250/300 l (ca. 120cm),medium,interesting body shape,socialization not possible,South America,carnivore - meat eater,yes,yes,no,> 12cm,1 - easy,interesting parental care,no,5-10 years
Scalar blue pearl XL - Pterophyllum scalare,soft to medium hard,Cichlids,no,22-28 °C,center,calm,conditional (see description),250/300 l (ca. 120cm),medium,interesting body shape,socialization not possible,South America,carnivore - meat eater,yes,yes,no,> 12cm,1 - easy,interesting parental care,no,5-10 years
Scalar koi brilliant DNZ - Pterophyllum scalare,soft to medium hard,Cichlids,no,22-28 °C,center,calm,conditional (see description),250/300 l (ca. 120cm),medium,interesting body shape,socialization not possible,South America,carnivore - meat eater,yes,yes,no,> 12cm,1 - easy,interesting parental care,no,5-10 years
Rainbow cichlid DNZ - Herotilapia multispinosa,medium hard to hard,Cichlids,no,20-30 °C,below,normal,conditional (see description),200 l (ca. 100cm),simply,forms territories (when spawning),socialization not possible,Central America,omnivorous - omnivorous,conditional (see description),yes,no,> 12cm,1 - easy,growth eater,no,
Black Scalar XL - Pterophyllum scalare,soft to medium hard,Cichlids,no,22-28 °C,center,calm,conditional (see description),250/300 l (ca. 120cm),medium,interesting body shape,socialization not possible,South America,carnivore - meat eater,yes,yes,no,> 12cm,1 - easy,interesting parental care,no,5-10 years
2x purple perch - Pseudotropheus lombardoi DNZ pairs,medium hard water,Cichlids,,25-30 °C,center,,,200 l (ca. 100cm),medium,especially colorful,socialization not possible,Africa,herbivore - plant eater,conditional (see description),no,no,> 12cm,2 - normal,,,
"2 x Panduro's dwarf cichlid - Apistogramma panduro, DNZ - pair",soft water,Cichlids,,25-30 °C,below,,,100 l (ca. 80cm),medium,especially colorful,socialization not possible,South America,carnivore - meat eater,yes,yes,no,4-8 cm,2 - normal,,,
"2x cockatoo dwarf cichlid ""orange"" - Apistogramma cacatuoides - DNZ pair",soft to medium hard,Cichlids,,25-30 °C,below,,,100 l (ca. 80cm),simply,forms territories (when spawning),socialization not possible,South America,carnivore - meat eater,yes,yes,yes,4-8 cm,1 - easy,,,
3x Demasons mouthbrooders - Chindongo demasoni - 1 trio (2W/1m),hard water,Cichlids,,25-30 °C,center,,,100 l (ca. 80cm),medium,especially colorful,socialization not possible,Africa,limnivorous - growth eater (algae),conditional (see description),no,no,8-12 cm,3 - difficult,,,
"2x Emerald Perch - Pelvicachromis taeniatus ""Nigeria Red"" - pair",soft to medium hard,Cichlids,,25-30 °C,center,,,100 l (ca. 80cm),medium,especially colorful,socialization not possible,Africa,carnivore - meat eater,conditional (see description),no,no,4-8 cm,2 - normal,,,
Butterfly cichlid DNZ XL - Microgeophagus ramirezi,soft to medium hard,Cichlids,no,22-28 °C,below,active,"yes, with peaceful fish",54 l (ca. 60cm),medium,especially colorful,socialization not possible,South America,carnivore - meat eater,yes,no,no,4-8 cm,2 - normal,interesting parental care,no,3-5 years
2x chestnut cichlid - Aequidens maronii,soft to medium hard,Cichlids,,20-25 °C,center,,,200 l (ca. 100cm),medium,forms territories (when spawning),socialization not possible,South America,omnivorous - omnivorous,yes,no,no,8-12 cm,2 - normal,,,
"2x scalar ""Leopard"" - Pterophyllum scalare - DNZ",soft to medium hard,Cichlids,,25-30 °C,center,,,250/300 l (ca. 120cm),medium,forms territories (when spawning),socialization not possible,South America,carnivore - meat eater,yes,yes,no,> 12cm,2 - normal,,,
Three-striped dwarf cichlid - Apistogramma trifasciata,soft to medium hard,Cichlids,,20-25 °C,center,,,200 l (ca. 100cm),medium,forms territories (when spawning),socialization not possible,South America,carnivore - meat eater,yes,conditional (see description),no,4-8 cm,2 - normal,,,
Emperor Cichlid Red Flush - Aulonocara hansbeanschi Red flush,soft to hard,Cichlids,,20-25 °C,center,,,250/300 l (ca. 120cm),medium,forms territories (when spawning),socialization not possible,Africa,carnivore - meat eater,conditional (see description),no,no,> 12cm,2 - normal,,,
"2 x butterfly cichlid ""gold"" XXL - Microgeophagus ramirezi - pair DNZ",soft to hard,Cichlids,,25-30 °C,center,,,54 l (ca. 60cm),medium,especially colorful,socialization not possible,South America,carnivore - meat eater,yes,yes,no,4-8 cm,1 - easy,,,
Rusty mouthbrooder DNZ - Iodotropheus sprengerae,,Cichlids,no,25-30 °C,,calm,"yes, with peaceful fish",250/300 l (ca. 120cm),medium,especially colorful,"with dwarf shrimp, offspring may be eaten",Africa,omnivorous - omnivorous,yes,yes,yes,4-8 cm,1 - easy,,no,
Scalar red ghost - Pterophyllum scalare,soft to medium hard,Cichlids,no,22-28 °C,center,calm,conditional (see description),250/300 l (ca. 120cm),medium,interesting body shape,socialization not possible,South America,carnivore - meat eater,yes,yes,no,> 12cm,1 - easy,interesting parental care,no,5-10 years
Elliot's Cichlid DNZ - Thorichthys maculipinnis (ellioti),medium hard to hard,Cichlids,no,22-28 °C,below,calm,conditional (see description),250/300 l (ca. 120cm),medium,especially colorful,socialization not possible,Central America,carnivore - meat eater,yes,conditional (see description),no,> 12cm,2 - normal,interesting color,no,
"2 x butterfly cichlid ""blue punk"" - Microgeophagus ramirezi - pair",soft to hard,Cichlids,,25-30 °C,center,,,54 l (ca. 60cm),medium,especially colorful,socialization not possible,South America,carnivore - meat eater,yes,yes,no,4-8 cm,1 - easy,,,
"2 x butterfly cichlid ""lemon gold"" - Microgeophagus ramirezi - pair DNZ",soft to hard,Cichlids,,25-30 °C,center,,,54 l (ca. 60cm),medium,especially colorful,socialization not possible,South America,carnivore - meat eater,yes,yes,no,4-8 cm,1 - easy,,,
"2x cockatoo dwarf cichlid ""red"" - Apistogramma cacatuoides - DNZ pair",soft to medium hard,Cichlids,,25-30 °C,below,,,100 l (ca. 80cm),simply,forms territories (when spawning),socialization not possible,South America,carnivore - meat eater,yes,yes,yes,4-8 cm,1 - easy,,,
Scarlet Dwarf Bluefish - Dario dario,soft to hard,Other fish,,25-30 °C,below,,,54 l (ca. 60cm),medium,especially colorful,"with dwarf shrimp, offspring is eaten",Asia,carnivore - meat eater,yes,yes,no,1-4 cm,2 - normal,,,
Striped Garfish Gold - Aplocheilus lineatus,soft to hard,Tooth carp,,25-30 °C,top,,,200 l (ca. 100cm),medium,especially colorful,socialization not possible,Asia,carnivore - meat eater,yes,yes,no,8-12 cm,2 - normal,,,
Golden Striped Garfish - Aplocheilus lineatus - EU-NZ,soft to hard,Tooth carp,,25-30 °C,top,,,200 l (ca. 100cm),medium,especially colorful,socialization not possible,Asia,carnivore - meat eater,yes,yes,no,8-12 cm,2 - normal,,,
2x Cape Lopez killifish EU-NZ - Aphyosemion australe - pair,soft to medium hard,Tooth carp,,18-28 °C,top,,,54 l (ca. 60cm),simply,especially colorful,with shrimp 4-6 cm size,Africa,carnivore - meat eater,yes,yes,conditional (see description),4-8 cm,1 - easy,,,
2x Gardner's killifish - Fundulopanchax gardneri - pair,soft to medium hard,Tooth carp,,18-28 °C,below,,,54 l (ca. 60cm),medium,especially colorful,with shrimp 4-6 cm size,Africa,carnivore - meat eater,yes,yes,no,4-8 cm,2 - normal,,,
Ringfish - Epiplatys annulatus,soft water,Tooth carp,no,22-28 °C,top,normal,conditional (see description),54 l (ca. 60cm),medium,especially colorful,"with dwarf shrimp, offspring is eaten",Africa,carnivore - meat eater,yes,yes,conditional (see description),1-4 cm,2 - normal,form family groups,no,
2x Rachow's killifish - Nothobranchius rachovii - pair,soft to medium hard,Carps,,20-25 °C,center,,,54 l (ca. 60cm),medium,especially colorful,socialization not possible,Africa,carnivore - meat eater,yes,yes,no,4-8 cm,2 - normal,,,
Crossband garfish - Epiplatys dageti dageti - DNZ,soft to medium hard,Spikefish,,20-25 °C,top,,,54 l (ca. 60cm),,especially colorful,socialization not possible,Africa,carnivore - meat eater,yes,conditional (see description),conditional (see description),8-12 cm,2 - normal,,,
2x Günther's killifish - Nothobranchius guentheri - pair,soft to medium hard,Tooth carp,,18-28 °C,below,,,54 l (ca. 60cm),medium,especially colorful,with shrimp 4-6 cm size,Africa,carnivore - meat eater,yes,yes,no,4-8 cm,2 - normal,,,
Medaka Medaka - Oryzias latipes,soft to medium hard,Carps,,18-28 °C,center,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",Asia,omnivorous - omnivorous,yes,yes,conditional (see description),4-8 cm,1 - easy,,,
Neon medaka - Oryzias cf. woworae - DNZ,soft to medium hard,Spikefish,,20-25 °C,below,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",Asia,carnivore - meat eater,yes,yes,no,4-8 cm,1 - easy,,,
African Butterflyfish - Pantodon buchholzi,soft to medium hard,Bone Tongues,,20-25 °C,top,,,100 l (ca. 80cm),medium,especially colorful,socialization not possible,Africa,carnivore - meat eater,yes,yes,no,> 12cm,4 - special,,,
Elephantnose Fish - Gnathonemus petersii,soft to medium hard,Bone Tongues,,25-30 °C,below,,,600 l (ca. 180cm),hard,swarm behaviour,socialization not possible,Africa,carnivore - meat eater,yes,yes,no,> 12cm,4 - special,,,
Ringed Puffer - Tetraodon mbu - XL,medium hard to hard,Pufferfish,no,22-28 °C,center,,conditional (see description),over 1000l,hard,forms precincts,socialization not possible,Africa,molluskivor - snail eater,yes,no,no,> 12cm,4 - special,snail eater,no,
Mekong Box Puffer - Tetraodon suvattii,,Pufferfish,,22-28 °C,center,,,200 l (ca. 100cm),hard,forms precincts,socialization not possible,Asia,molluskivor - snail eater,yes,conditional (see description),no,> 12cm,4 - special,,,
Shredded Puffer - Tetraodon baileyi,soft to medium hard,Pufferfish,no,22-28 °C,center,,,200 l (ca. 100cm),,interesting body shape,socialization not possible,Asia,molluskivor - snail eater,yes,no,no,> 12cm,4 - special,snail eater,no,
Real Palembang Puffer Fish - Poa (Tetraodon) palembangensis,,Pufferfish,,20-25 °C,center,,,250/300 l (ca. 120cm),hard,especially colorful,socialization not possible,Asia,molluskivor - snail eater,yes,no,no,> 12cm,4 - special,,,
Redtail Crested Puffer - Carinotetraodon irrubesco,soft to medium hard,Pufferfish,no,20-28 °C,everywhere,normal,conditional (see description),54 l (ca. 60cm),medium,interesting body shape,socialization not possible,Asia,molluskivor - snail eater,yes,no,no,4-8 cm,2 - normal,snail eater,no,
Brown Puffer Fish - Tetraodon miurus,soft to medium hard,Pufferfish,no,24-28 °C,center,,no,250/300 l (ca. 120cm),hard,interesting body shape,socialization not possible,Africa,molluskivor - snail eater,yes,no,no,> 12cm,4 - special,snail eater,no,
Pea Puffer Fish - Carinotetraodon travancoricus,soft to hard,Pufferfish,,25-30 °C,center,,,54 l (ca. 60cm),medium,especially colorful,socialization not possible,Asia,molluskivor - snail eater,yes,no,no,1-4 cm,2 - normal,,,
Eyespot Puffer - Dichotomyctere ocellatus (Tetraodon biocellatus),soft to medium hard,Pufferfish,,20-25 °C,center,,,100 l (ca. 80cm),hard,especially colorful,socialization not possible,Asia,molluskivor - snail eater,yes,no,no,4-8 cm,4 - special,,,
Green Puffer Fish - Dichotomyctere (Tetraodon) nigroviridis,brackish water,Pufferfish,no,24-28 °C,everywhere,normal,no,250/300 l (ca. 120cm),medium,interesting body shape,socialization not possible,Asia,molluskivor - snail eater,conditional (see description),no,no,> 12cm,4 - special,snail eater,no,5-10 years
3x Snarling Dwarf Gourami - Trichopsis pumilus 2W/1M,soft to medium hard,Labyrinth fish,,25-30 °C,center,,,54 l (ca. 60cm),medium,forms territories (when spawning),socialization not possible,Asia,omnivorous - omnivorous,yes,yes,no,1-4 cm,1 - easy,,,
2x threadfish blue - Trichogaster trichopterus - pair,soft to hard,Labyrinth fish,,18-28 °C,center,,,250/300 l (ca. 120cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",Asia,omnivorous - omnivorous,yes,yes,no,> 12cm,1 - easy,,,
2x Blue Gourami - Trichopodus lalius - pair,soft to medium hard,Labyrinth fish,,25-30 °C,center,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",Asia,omnivorous - omnivorous,yes,yes,no,4-8 cm,1 - easy,,,
"2x Marble Gourami ""Cosby"" - Trichogaster trichopterus - pair",soft to hard,Labyrinth fish,,25-30 °C,top,,,250/300 l (ca. 120cm),simply,forms territories (when spawning),"with dwarf shrimp, offspring may be eaten",Asia,omnivorous - omnivorous,conditional (see description),yes,no,> 12cm,1 - easy,,,
"2x Marble Gourami ""gold/orange"" - Trichogaster trichopterus - pair - DNZ",soft to hard,Labyrinth fish,,25-30 °C,top,,,250/300 l (ca. 120cm),simply,forms territories (when spawning),"with dwarf shrimp, offspring may be eaten",Asia,omnivorous - omnivorous,conditional (see description),yes,no,> 12cm,1 - easy,,,
Gourami gold lg - Trichogaster trichopterus,soft to medium hard,Labyrinth fish,no,22-28 °C,center,calm,"yes, with peaceful fish",250/300 l (ca. 120cm),medium,especially colorful,"with dwarf shrimp, offspring may be eaten",Asia,omnivorous - omnivorous,yes,yes,no,> 12cm,2 - normal,interesting color,no,5-10 years
2x dwarf gourami - Trichogaster lalius - pair,soft to medium hard,Labyrinth fish,,25-30 °C,center,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",Asia,omnivorous - omnivorous,yes,yes,no,4-8 cm,1 - easy,,,
Female Betta - Betta splendens,soft to hard,Labyrinth fish,no,22-28 °C,center,calm,conditional (see description),54 l (ca. 60cm),medium,especially colorful,with shrimp 4-6 cm size,Asia,carnivore - meat eater,yes,conditional (see description),no,4-8 cm,1 - easy,interesting color,no,3-5 years
Dwarf Gourami neon - Colisa lalia,soft to medium hard,Labyrinth fish,no,24-28 °C,center,calm,"yes, with peaceful fish",54 l (ca. 60cm),,,"with dwarf shrimp, offspring may be eaten",Asia,omnivorous - omnivorous,yes,yes,no,4-8 cm,2 - normal,interesting color,no,3-5 years
"2x dwarf gourami ""Red"" - Colisa lalia - pair",soft to medium hard,Labyrinth fish,,25-30 °C,center,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",Asia,omnivorous - omnivorous,yes,yes,no,4-8 cm,1 - easy,,,
2x Gourami - Colisa chuna - pair,soft to medium hard,Labyrinth fish,,25-30 °C,center,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",Asia,carnivore - meat eater,yes,yes,no,4-8 cm,1 - easy,,,
"2x Gourami ""Gold"" - Colisa chuna - pair",soft to medium hard,Labyrinth fish,,25-30 °C,center,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",Asia,omnivorous - omnivorous,yes,yes,no,4-8 cm,1 - easy,,,
Fighting fish male poster lg - Betta splendens,soft to hard,Labyrinth fish,no,24-28 °C,everywhere,normal,no,54 l (ca. 60cm),medium,interesting body shape,socialization not possible,Asia,carnivore - meat eater,yes,yes,no,4-8 cm,1 - easy,interesting color,no,3-5 years
Male Fighting Fish - Betta splendens,soft to medium hard,Labyrinth fish,no,25-30 °C,center,normal,,54 l (ca. 60cm),medium,especially colorful,with shrimp 4-6 cm size,Asia,carnivore - meat eater,yes,no,no,4-8 cm,4 - special,interesting color,no,3-5 years
"Fighting fish male ""Red"" xl",soft to hard,Labyrinth fish,,25-30 °C,center,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring is eaten",Asia,carnivore - meat eater,yes,conditional (see description),no,4-8 cm,1 - easy,,,
Mosaic Gourami - Trichogaster leeri,soft to medium hard,Labyrinth fish,,25-30 °C,top,,,200 l (ca. 100cm),simply,forms territories (when spawning),"with dwarf shrimp, offspring may be eaten",Asia,omnivorous - omnivorous,yes,yes,no,8-12 cm,1 - easy,,,
"Fighting fish male ""Blue"" xl",soft to hard,Labyrinth fish,,25-30 °C,center,,,54 l (ca. 60cm),simply,especially colorful,with shrimp > 6 cm ,Asia,carnivore - meat eater,yes,conditional (see description),no,4-8 cm,1 - easy,,,
"Betta male ""super-delta xl"" - Betta splendens",soft to hard,Labyrinth fish,,25-30 °C,center,,,54 l (ca. 60cm),medium,forms precincts,with shrimp > 6 cm ,Asia,carnivore - meat eater,yes,conditional (see description),no,4-8 cm,1 - easy,,,
Female fighting fish black samurai - Betta splendens,soft to medium hard,Labyrinth fish,no,24-28 °C,everywhere,normal,no,54 l (ca. 60cm),medium,especially colorful,socialization not possible,Asia,carnivore - meat eater,yes,yes,no,4-8 cm,2 - normal,interesting color,no,3-5 years
"Betta male crescent xl ""Dumbo Ear"" - Betta splendens",soft to hard,Labyrinth fish,,25-30 °C,center,,,54 l (ca. 60cm),medium,especially colorful,"with dwarf shrimp, offspring is eaten",Asia,carnivore - meat eater,yes,conditional (see description),no,4-8 cm,1 - easy,,,
Fighting fish male black samurai poster - Betta splendens,soft to medium hard,Labyrinth fish,no,24-28 °C,everywhere,normal,no,54 l (ca. 60cm),medium,interesting body shape,socialization not possible,Asia,carnivore - meat eater,yes,yes,no,4-8 cm,3 - difficult,interesting color,no,3-5 years
Betta male Dragon metallic lg - Betta splendens,soft to hard,Labyrinth fish,no,24-28 °C,everywhere,normal,no,54 l (ca. 60cm),medium,interesting body shape,socialization not possible,Asia,carnivore - meat eater,yes,yes,no,4-8 cm,1 - easy,interesting color,no,3-5 years
"Female fighting fish ""Koi"" - Betta splendens",soft to hard,Labyrinth fish,,25-30 °C,top,,,100 l (ca. 80cm),medium,especially colorful,with shrimp > 6 cm ,Asia,carnivore - meat eater,yes,yes,no,8-12 cm,1 - easy,,,
Betta male star koi poster - Betta splendens,soft to hard,Labyrinth fish,no,24-28 °C,everywhere,normal,no,54 l (ca. 60cm),medium,interesting body shape,socialization not possible,Asia,carnivore - meat eater,yes,yes,no,4-8 cm,1 - easy,interesting color,no,3-5 years
"Male betta ""Koi Poster"" - Betta splendens",soft to hard,Labyrinth fish,,25-30 °C,top,,,54 l (ca. 60cm),medium,especially colorful,with shrimp > 6 cm ,Asia,carnivore - meat eater,yes,yes,no,4-8 cm,1 - easy,,,
Red Thick-lipped Gourami - Colisa labiosa,soft to medium hard,Labyrinth fish,no,22-28 °C,center,normal,"yes, with peaceful fish",100 l (ca. 80cm),medium,forms territories (when spawning),"with dwarf shrimp, offspring may be eaten",Asia,omnivorous - omnivorous,yes,yes,no,8-12 cm,2 - normal,interesting color,no,5-10 years
